SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
174325,5429,180978.5938,Jun,2014,Wednesday,32.109965,6653.59375,,,
200271.5625,6232,207757.7031,Jun,2014,Thursday,32.13600168,7486.140625,,,
468701.625,14585,486180.5313,Jun,2014,Friday,32.13586733,17478.90625,,,
473425.75,14745,492135.2813,Jun,2014,Saturday,32.10754493,18709.53125,,,
224232.125,6991,233554.0313,Jun,2014,Sunday,32.07439923,9321.90625,,,
185606.2813,5788,193340.3125,Jun,2014,Monday,32.06742938,7734.03125,,,
212687.5156,6632,221403.6406,Jun,2014,Tuesday,32.06989078,8716.125,,,
184259.6875,5752,192057.5156,Jun,2014,Wednesday,32.03402078,7797.828125,,,
113735.8125,3578,119544.0234,Jun,2014,Thursday,31.78753843,5808.210938,,,
203165.0781,6119,205350.6406,Jun,2014,Friday,33.20233341,2185.5625,,,
203345.25,6161,206918.9063,Jun,2014,Saturday,33.00523454,3573.65625,,,
134944.4844,4015,135372.5313,Jun,2014,Sunday,33.61008328,428.046875,,,
138298.2031,4133,139206.0313,Jun,2014,Monday,33.46194124,907.828125,,,
36692.67969,1047,35299.0625,Jun,2014,Tuesday,35.04553934,-1393.617188,,,
56077.54297,1601,53925.25781,Jun,2014,Wednesday,35.02657275,-2152.285156,,,
55780.70703,1592,53688.24219,Jun,2014,Thursday,35.03813256,-2092.464844,,,
131721.2344,3759,127302.4297,Jun,2014,Friday,35.04156275,-4418.804688,,,
146169.0781,4172,141012.3281,Jun,2014,Saturday,35.03573301,-5156.75,,,
62073.58594,1772,60083.87109,Jun,2014,Sunday,35.03024037,-1989.714844,,,
93619.84375,2672,90294.375,Jun,2014,Monday,35.03736667,-3325.46875,,,
180183.0313,5143,173842.9219,Jul,2014,Tuesday,35.03461623,-6340.109375,,,
104760.7031,2990,101615.7344,Jul,2014,Wednesday,35.03702446,-3144.96875,,,
93450.53125,2667,90927.08594,Jul,2014,Thursday,35.03956927,-2523.445313,,,
98087.55469,2799,95423.27344,Jul,2014,Friday,35.04378517,-2664.28125,,,
