Date,Sales,Cost Of Sales,Quantity Sold
16/1/2015,149444.0568,152030.9865,3629
17/1/2015,170624.0799,173547.0271,4144
18/1/2015,74744.28315,76003.92825,1815
19/1/2015,90144.1614,91110.96935,2189
20/1/2015,97826.8088,99134.30699,2376
21/1/2015,62795.97915,64144.08888,1525
22/1/2015,66550.98983,67952.15055,1616
23/1/2015,154670.8907,158031.791,3757
24/1/2015,158722.1056,162082.4184,3855
25/1/2015,78092.27692,79795.0431,1897
26/1/2015,91830.40204,93808.08675,2230
27/1/2015,76992.93568,78614.45775,1870
28/1/2015,59897.71588,61194.18026,1455
29/1/2015,57310.19404,58531.41099,1392
30/1/2015,134540.2145,137221.5375,3268
31/1/2015,200193.612,203814.7364,4862
1/2/2015,171469.9305,174652.458,4165
2/2/2015,151737.2188,154148.5988,3685
3/2/2015,102072.4434,103634.9642,2479
4/2/2015,82514.10512,83232.39137,2005
5/2/2015,46211.33246,46407.29912,1122
6/2/2015,85730.41481,85765.70934,2082
7/2/2015,105918.2933,105662.5562,2573
8/2/2015,73041.66087,73046.2339,1774
9/2/2015,97908.5471,97097.93659,2378
10/2/2015,138667.4159,148522.849,3677
11/2/2015,162162.1035,173661.8278,4299
12/2/2015,138520.1268,147756.3428,3674
13/2/2015,358597.4285,382447.0804,9505
14/2/2015,424009.8825,451548.0276,11237
15/2/2015,203861.4724,217065.6152,5406
16/2/2015,220506.2093,234723.22,5846
17/2/2015,139935.937,148697.5437,3713
18/2/2015,161064.7523,170739.3666,4270
19/2/2015,144328.5452,152824.1149,3827
20/2/2015,293071.7592,310240.3784,7770
21/2/2015,267782.154,283430.3368,7102
22/2/2015,136052.6884,144020.1228,3608
23/2/2015,86703.31409,85730.96654,2150
24/2/2015,95474.35737,100867.5241,2530
25/2/2015,198431.6275,209499.7941,5253
26/2/2015,157291.734,166305.0376,4171
27/2/2015,307540.6752,324997.3365,8156
28/2/2015,350898.7635,375030.6355,9296
1/3/2015,256701.5427,276569.2504,6803
2/3/2015,234705.5928,252709.8231,6221
3/3/2015,249380.5654,268761.8324,6611
4/3/2015,258211.4442,278825.6067,6843
5/3/2015,145975.8339,157578.0059,3858
6/3/2015,269239.8526,291365.0176,7128
7/3/2015,306920.2116,332242.4116,8127
8/3/2015,122106.7956,121394.8122,2966
9/3/2015,117661.2808,116861.1583,2858
10/3/2015,62499.79917,62073.87265,1518
11/3/2015,57063.98412,56638.28137,1386
12/3/2015,48008.48284,47681.67208,1166
13/3/2015,117446.8391,116681.1416,2853
14/3/2015,150591.5479,149573.8276,3657
15/3/2015,67152.47495,66802.98322,1631
16/3/2015,80635.28925,80121.29052,1959
17/3/2015,50669.6371,50308.95705,1230
18/3/2015,48648.99266,48362.06879,1182
19/3/2015,43213.17762,42981.21685,1050
20/3/2015,96881.01809,96453.28728,2353
21/3/2015,121360.8851,120829.288,2947
22/3/2015,66954.36637,66756.37644,1626
23/3/2015,81342.15076,81132.0129,1976
24/3/2015,125060.7079,136375.1527,3312
25/3/2015,253218.8312,276194.8295,6704
26/3/2015,229184.4719,250361.1502,6077
27/3/2015,354191.351,386464.6513,9386
28/3/2015,459484.6666,501362.5725,12181
29/3/2015,224102.8885,244359.8075,5937
30/3/2015,215203.5588,234819.4474,5706
31/3/2015,355534.912,386988.9147,9421
1/4/2015,498894.3439,542483.8358,13207
2/4/2015,715032.1899,777522.1928,18936
3/4/2015,510289.2156,554159.8194,13503
4/4/2015,400302.0395,434872.7289,10600
5/4/2015,135578.2034,147335.9251,3591
6/4/2015,182466.2552,198405.2291,4836
7/4/2015,176814.2026,178390.1491,4348
8/4/2015,100917.6716,100579.1289,2451
9/4/2015,74690.67273,74427.58597,1814
10/4/2015,114067.0771,113653.9736,2770
11/4/2015,126507.8009,126043.7692,3072
12/4/2015,79648.62939,79349.40245,1934
13/4/2015,83137.43243,82700.35417,2019
14/4/2015,40776.02706,39940.19958,979
15/4/2015,58278.45793,56969.92259,1398
16/4/2015,50000.10144,48827.88538,1198
17/4/2015,103911.9191,101408.9496,2485
18/4/2015,132843.2226,129545.5321,3172
19/4/2015,62786.61128,61213.25591,1497
20/4/2015,57233.40664,55706.87543,1365
21/4/2015,56874.34546,55172.17123,1353
22/4/2015,132737.737,140263.9301,3439
23/4/2015,60310.33895,58446.05493,1434
24/4/2015,343587.0085,362390.596,8892
25/4/2015,496882.315,535306.0099,13144
26/4/2015,200369.8299,210964.7681,5179
27/4/2015,194028.0618,204053.4989,5014
28/4/2015,190560.5792,200804.0368,4936
29/4/2015,198985.3996,209483.8758,5150
30/4/2015,385482.872,406252.0076,9986
1/5/2015,499703.4147,526206.9372,12937
2/5/2015,461667.0039,496852.802,12217
3/5/2015,259541.6087,273280.0464,6721
4/5/2015,320309.2744,336742.6024,8283
5/5/2015,239922.9982,251700.9664,6191
6/5/2015,224994.1951,242259.8595,5959
7/5/2015,117197.9717,115769.0863,2848
8/5/2015,330589.1998,355565.0417,8748
9/5/2015,389972.1198,419827.1365,10329
10/5/2015,166536.0003,179243.0518,4410
11/5/2015,198442.9127,213676.4284,5257
12/5/2015,193182.1506,208039.1734,5118
13/5/2015,166403.127,179221.5723,4410
14/5/2015,149178.6015,160620.2071,3952
15/5/2015,380592.5776,409812.4327,10084
16/5/2015,413700.1789,445569.7191,10964
17/5/2015,177159.6731,190811.5779,4695
18/5/2015,196420.7635,211510.7861,5205
19/5/2015,137940.8722,147846.0522,3638
20/5/2015,166176.2838,178568.1805,4394
21/5/2015,84604.37757,81763.26739,2012
22/5/2015,321821.0203,346487.5203,8526
23/5/2015,418715.4106,450936.2793,11096
24/5/2015,169541.2659,182419.1414,4489
25/5/2015,256434.5099,276173.7925,6795
26/5/2015,199385.9124,214719.7528,5283
27/5/2015,243554.2243,262251.0801,6453
28/5/2015,217746.0129,234483.417,5770
29/5/2015,472160.7521,508265.147,12507
30/5/2015,546135.4624,588250.1812,14475
31/5/2015,264637.3653,284828.6597,7009
1/6/2015,440905.9987,474967.3276,11688
2/6/2015,334318.8978,360168.8271,8863
3/6/2015,269835.8286,290492.1063,7148
4/6/2015,201146.4893,216428.5004,5326
5/6/2015,293461.0839,315937.8622,7775
6/6/2015,349413.0098,376094.7218,9255
7/6/2015,179602.9152,193348.5914,4758
8/6/2015,109810.5457,106166.0816,2613
9/6/2015,76956.92035,74212.79057,1830
10/6/2015,71199.5884,68669.39496,1694
11/6/2015,68988.34667,66539.1652,1642
12/6/2015,155156.8792,149423.2436,3690
13/6/2015,185109.5231,178347.3694,4404
14/6/2015,83779.54401,80659.82181,1992
15/6/2015,149501.5745,143962.8719,3557
16/6/2015,100477.2968,96810.10358,2395
17/6/2015,89072.70535,85639.30775,2120
18/6/2015,78746.59586,75673.78199,1875
19/6/2015,141913.3824,136017.7504,3376
20/6/2015,169304.2783,162287.9092,4027
21/6/2015,89512.24284,85781.80703,2128
22/6/2015,85984.07534,82427.23154,2046
23/6/2015,64956.46208,62169.77712,1546
24/6/2015,106613.4328,113428.4743,2822
25/6/2015,183843.8173,195365.7307,4865
26/6/2015,319579.7941,339241.6918,8450
27/6/2015,369245.7587,392017.9735,9770
28/6/2015,185648.4911,197095.1087,4914
29/6/2015,165557.7618,175871.1109,4385
30/6/2015,212465.0832,225678.9345,5627
1/7/2015,305231.9081,324248.8415,8086
2/7/2015,250481.6177,266061.9284,6639
3/7/2015,268410.4807,284592.9947,7104
4/7/2015,316365.4987,335025.0764,8364
5/7/2015,156873.0437,165968.6245,4146
6/7/2015,173987.7515,184188.979,4601
7/7/2015,135753.766,143799.5987,3593
8/7/2015,84426.50941,84588.96304,2114
9/7/2015,70815.19029,71913.06858,1797
10/7/2015,125983.1518,127884.5872,3195
11/7/2015,142378.184,143924.5651,3595
12/7/2015,57427.68071,58723.04053,1467
13/7/2015,63331.331,64690.05907,1610
14/7/2015,51241.02855,52509.91622,1307
15/7/2015,80326.44081,81730.2707,2050
16/7/2015,71912.56573,73762.62917,1849
17/7/2015,119204.3095,122669.6994,3070
18/7/2015,129441.2787,132493.4315,3322
19/7/2015,77645.74994,79555.63474,1982
20/7/2015,69926.65036,71362.51784,1787
21/7/2015,71973.0443,73851.7884,1846
22/7/2015,44304.89836,45468.83698,1142
23/7/2015,66799.72373,69323.64787,1734
24/7/2015,125689.5928,130428.2264,3259
25/7/2015,138624.945,143537.3952,3572
26/7/2015,81715.04533,85089.22343,2109
27/7/2015,86842.86136,90242.7941,2242
28/7/2015,56976.78528,59094.07686,1474
29/7/2015,53433.66803,55516.52556,1381
30/7/2015,55134.08182,57064.7507,1423
31/7/2015,145033.6108,149876.8733,3740
1/8/2015,173306.9065,178699.9759,4453
2/8/2015,88154.33871,90828.6617,2258
3/8/2015,81142.02785,83114.57681,2074
4/8/2015,77672.88278,80417.74644,2007
5/8/2015,75483.42255,78024.28468,1948
6/8/2015,74354.5701,76978.30524,1922
7/8/2015,120326.8763,123707.7616,3088
8/8/2015,131867.9935,135721.426,3388
9/8/2015,75504.00274,77978.69447,1944
10/8/2015,69968.0777,72665.72553,1812
11/8/2015,60187.14905,62538.49328,1563
12/8/2015,44698.70075,46849.56715,1171
13/8/2015,39463.40906,41414.41837,1035
14/8/2015,85794.0969,89898.89423,2247
15/8/2015,117288.0101,122504.3572,3068
16/8/2015,71056.061,74589.17287,1866
17/8/2015,64394.07445,67505.25414,1690
18/8/2015,35165.97208,36841.96732,922
19/8/2015,23234.1832,24104.08598,604
20/8/2015,24754.95718,25407.17407,643
21/8/2015,76691.28303,78691.95632,2006
22/8/2015,102231.2118,104713.0075,2677
23/8/2015,56974.86803,57548.98515,1467
24/8/2015,59442.73112,59785.42861,1528
25/8/2015,217683.3623,246975.7308,6360
26/8/2015,275458.8069,307092.2744,8035
27/8/2015,228731.8655,252845.4456,6675
28/8/2015,387639.12,426783.3022,11330
29/8/2015,461188.0049,504578.1888,13484
30/8/2015,202249.6772,220152.1868,5913
31/8/2015,332559.765,361970.2859,9721
1/9/2015,384806.7716,418101.5975,11257
2/9/2015,345776.2503,373816.1684,10102
3/9/2015,271551.0951,293343.874,7938
4/9/2015,340440.2055,366359.6586,9936
5/9/2015,364416.7316,392128.3013,10643
6/9/2015,164719.6045,176647.8427,4800
7/9/2015,178921.0993,192507.5287,5228
8/9/2015,70286.99781,66639.69805,1810
9/9/2015,76013.6779,72211.10317,1961
10/9/2015,48406.78715,45316.54273,1232
11/9/2015,85940.02694,81559.84562,2194
12/9/2015,57381.75145,54340.89151,1469
13/9/2015,32479.79639,30763.68812,829
14/9/2015,52160.18393,49656.00775,1329
15/9/2015,51002.83957,48601.9675,1300
16/9/2015,30194.71596,28605.4608,773
17/9/2015,29751.22261,28084.23513,760
18/9/2015,68504.63944,64881.97565,1755
19/9/2015,68996.56176,65211.57177,1766
20/9/2015,41855.92876,39629.45187,1078
21/9/2015,44303.46649,41485.45872,1124
22/9/2015,46599.29813,43806.73201,1182
23/9/2015,125182.7572,138583.8378,3725
24/9/2015,150036.805,167704.8554,4492
25/9/2015,368037.6919,413540.8072,11030
26/9/2015,351319.6381,397626.5851,10528
27/9/2015,163289.9367,185404.044,4895
28/9/2015,190892.459,216571.0595,5720
29/9/2015,143082.1333,162929.0185,4288
